,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
111,7304253149,Afternoon Run,2022-06-13T17:39:35Z,Run,4732.5,1688,1758,21.2,"[43.86673207394779, -79.43435096181929]",garmin_push_9011372356
112,7297507498,Morning Run,2022-06-12T10:50:33Z,Run,5011.1,1695,1695,40.8,"[43.86400158517063, -79.43134973756969]",garmin_push_9003348922
113,7291100966,Morning Run,2022-06-11T09:11:25Z,Run,8731.6,3517,3747,103.4,"[43.951043, -79.421384]",garmin_push_8995980028
114,7282953416,Evening Run,2022-06-09T18:38:59Z,Run,5008.4,1719,2745,53.9,"[43.863814920187, -79.42691520787776]",garmin_push_8986482185
115,7272923670,Evening Run,2022-06-07T20:38:01Z,Run,5013.2,1779,1779,21.0,"[43.86487045325339, -79.43320113234222]",garmin_push_8974548073
116,7262007201,Evening Run,2022-06-05T20:12:40Z,Run,5009.5,1733,1733,40.8,"[43.864293191581964, -79.4314110931009]",garmin_push_8961697815
117,7245859732,Evening Run,2022-06-02T20:09:34Z,Run,5010.6,1788,1847,40.5,"[43.86360855773091, -79.4317255821079]",garmin_push_8943042318
118,7239983852,Evening Run,2022-06-01T18:03:10Z,Run,4007.3,1423,1593,30.3,"[43.865118054673076, -79.42998005077243]",garmin_push_8936337824
119,7231307980,Morning Run,2022-05-31T07:15:18Z,Run,2691.5,958,1120,30.1,"[43.87351873330772, -79.4166639726609]",garmin_push_8926168170
120,7229555478,Evening Run,2022-05-30T20:19:24Z,Run,2260.0,789,897,10.8,"[43.86551418341696, -79.42886986769736]",garmin_push_8924022386
121,7218970948,Evening Run,2022-05-28T20:17:09Z,Run,5008.5,1672,2315,23.7,"[43.86542818509042, -79.43380781449378]",garmin_push_8911765810
122,7217926636,Afternoon Ride,2022-05-28T11:08:09Z,Ride,18721.1,4388,11155,67.6,"[43.620523139834404, -79.48007013648748]",D5E734D5-064B-4CBC-9A12-BDEBB1566159-activity.fit
123,7213008267,Afternoon Run,2022-05-27T17:35:43Z,Run,5008.2,1777,1778,40.2,"[43.86385867372155, -79.4313561078161]",garmin_push_8905002799
124,7203221309,Evening Run,2022-05-25T20:19:36Z,Run,5042.0,1811,1867,40.2,"[43.863573521375656, -79.43147990852594]",garmin_push_8893456497
125,7197512086,Afternoon Run,2022-05-24T17:34:35Z,Run,5009.4,1721,1750,40.4,"[43.86422496289015, -79.4313748832792]",garmin_push_8886948017
126,7187859310,Hotel treadmill run ,2022-05-22T20:41:25Z,Run,5044.2,1912,1912,0,[],garmin_push_8875438665
127,7171720110,Evening Run,2022-05-19T19:41:42Z,Run,5230.8,1875,2841,11.4,"[43.948040809482336, -79.44900940172374]",garmin_push_8856853951
128,7166302701,Evening Run,2022-05-18T20:14:18Z,Run,5013.4,1834,1931,23.8,"[43.86359472759068, -79.43159700371325]",garmin_push_8850596102
129,7160579465,Evening Run,2022-05-17T19:49:08Z,Run,5011.0,1727,1727,40.2,"[43.863907204940915, -79.43132509477437]",garmin_push_8843941346
130,7149908645,Evening Run,2022-05-15T20:01:17Z,Run,5006.4,1780,2059,21.2,"[43.86671933345497, -79.43432413972914]",garmin_push_8831444651
131,7143796984,Evening Run,2022-05-14T19:37:39Z,Run,10011.0,3576,4537,57.4,"[43.859822787344456, -79.43383488804102]",garmin_push_8824454399
132,7137458069,Afternoon Run,2022-05-13T16:40:13Z,Run,5009.6,1713,2817,23.7,"[43.865963872522116, -79.43410771898925]",garmin_push_8817400731
133,7122270651,Evening Run,2022-05-10T19:44:11Z,Run,5008.6,1755,2853,37.0,"[43.86433560401201, -79.4311193190515]",garmin_push_8799792208
134,7110197967,Afternoon Run,2022-05-08T13:15:46Z,Run,7242.1,2470,4378,48.5,"[43.865472776815295, -79.43605726584792]",garmin_push_8785821654
135,7096666904,Morning Run,2022-05-06T06:34:15Z,Run,5088.7,1811,2155,19.4,"[43.88215200975537, -79.36958910897374]",garmin_push_8770506979
136,7094611603,Afternoon Run,2022-05-05T17:14:15Z,Run,7377.4,2584,4004,46.1,"[43.8603435549885, -79.43382382392883]",garmin_push_8768113274
137,7080622462,Morning Run,2022-05-03T07:15:52Z,Run,5018.5,1757,2005,23.3,"[43.865398429334164, -79.43354168906808]",garmin_push_8751865201
138,7073398211,Evening Run,2022-05-01T19:45:07Z,Run,1009.0,291,291,3.0,"[43.863630602136254, -79.43184074945748]",B596FCC8-969E-4011-A4CB-CFF29E194155-activity.fit
139,7037329289,Hilly London ,2022-04-25T08:27:46Z,Run,5009.1,1809,2191,52.6,"[51.58500409685075, -0.27421186678111553]",9882FE76-0394-4C1C-BCE5-F0D659251F0F-activity.fit
140,7020406674,Evening Run,2022-04-21T19:07:13Z,Run,5008.3,1746,1746,40.3,"[43.86395204812288, -79.43136130459607]",garmin_push_8682775260
141,7003693173,🏄🏾‍♀️🏄🏾‍♀️🏄🏾‍♀️,2022-04-18T14:19:34Z,Surfing,1196.7,2620,2620,0,[],garmin_push_8663655100
142,6999436840,Evening Ride,2022-04-17T16:59:28Z,Ride,6544.5,2428,4399,3.5,"[32.67538033425808, -117.17360738664865]",BB02C141-279D-4A6E-9C8A-3B83A150E65A-activity.fit
143,6992317575,La Jolla Half Marathon!! ,2022-04-16T06:36:33Z,Run,21301.5,8129,8186,280.1,"[32.850326327607036, -117.27400112897158]",garmin_push_8650731891
144,6987340389,Balboa Park,2022-04-15T10:50:25Z,Walk,2478.1,2115,3771,17.0,"[32.7287223469466, -117.15078790672123]",70F4DCC2-72B4-435D-B181-0F63DBB23AEE-activity.fit
145,6972857732,Evening Run,2022-04-12T19:19:54Z,Run,5005.6,1764,1930,39.4,"[43.863973589614034, -79.4313471391797]",garmin_push_8628577199
146,6956912746,Afternoon Run,2022-04-09T17:21:27Z,Run,21194.1,8126,10061,53.9,"[43.952269898727536, -79.4313043076545]",garmin_push_8610230643
147,6937201050,Afternoon Run,2022-04-05T17:18:25Z,Run,1010.5,347,472,0.0,"[43.86547017842531, -79.4291644077748]",garmin_push_8587691798
148,6922666122,Afternoon Run,2022-04-02T17:18:35Z,Run,21111.5,7919,9975,65.2,"[43.95227392204106, -79.43137069232762]",garmin_push_8570844261
149,6913600671,Evening Run,2022-03-31T18:48:14Z,Run,10009.3,3650,4065,50.3,"[43.86336833238602, -79.43160647526383]",garmin_push_8560379689
150,6908492369,Afternoon Run,2022-03-30T16:22:28Z,Run,999.1,345,424,4.2,"[43.86421171948314, -79.43279821425676]",garmin_push_8554525270
151,6887506076,Afternoon Run,2022-03-26T14:15:53Z,Run,9962.1,3545,3806,111.3,"[43.85729287751019, -79.31168423965573]",garmin_push_8529952295
152,6877517675,Need new shoes 😢,2022-03-24T17:37:50Z,Run,5007.9,1785,1945,39.7,"[43.863955065608025, -79.43131688050926]",garmin_push_8518710957
153,6867245075,Evening Run,2022-03-22T18:37:44Z,Run,10013.0,3785,3906,58.6,"[43.859165562316775, -79.43434878252447]",garmin_push_8506976499
154,6856805648,Evening Run,2022-03-20T18:26:31Z,Run,10029.5,3521,3737,59.7,"[43.85937754064798, -79.43438356742263]",garmin_push_8494871059
155,6850422233,Hike hike,2022-03-19T16:34:14Z,Hike,2745.1,2660,2835,59.6,"[45.04195712506771, -78.22499019093812]",2437AADD-BA64-42F4-BA04-AB788FD60A8B-activity.fit
156,6844137782,Afternoon Run,2022-03-18T13:19:15Z,Run,5015.5,1752,1801,30.4,"[45.05382874980569, -78.21759374812245]",garmin_push_8480738898
157,6838670938,Lunch Run,2022-03-17T11:36:35Z,Run,5015.0,1722,1739,40.5,"[43.86437793262303, -79.4317171163857]",garmin_push_8474490504
158,6835401664,Afternoon Run,2022-03-16T14:25:15Z,Run,5011.3,1805,1929,40.1,"[43.864217000082135, -79.43140438757837]",garmin_push_8470751391
159,6820245315,Afternoon Run,2022-03-13T15:41:32Z,Run,17008.8,6123,6512,108.6,"[43.86454280465841, -79.43067985586822]",garmin_push_8453007489
